"","Year","Missile","Number","Range","CEP","Guidance","Warheads"
"27",1949,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"28",1949,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"29",1949,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"30",1949,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"31",1950,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"32",1950,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"33",1950,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"34",1950,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"35",1950,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"36",1950,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"37",1951,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"38",1951,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"39",1951,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"40",1951,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"41",1951,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"42",1951,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"43",1952,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"44",1952,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"45",1952,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"46",1952,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"47",1952,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"48",1952,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"49",1953,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"50",1953,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"51",1953,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"52",1953,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"53",1953,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"54",1953,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"55",1954,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"56",1954,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"57",1954,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"58",1954,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"59",1954,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"60",1954,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"61",1955,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"62",1955,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"63",1955,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"64",1955,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"65",1955,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"66",1955,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"67",1956,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"68",1956,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"69",1956,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"70",1956,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"71",1956,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"72",1956,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"73",1957,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"74",1957,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"75",1957,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"76",1957,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"77",1957,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"78",1957,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"79",1958,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"80",1958,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"81",1958,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"82",1958,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"83",1958,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"84",1958,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"85",1959,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"86",1959,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"87",1959,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"88",1959,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"89",1959,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"90",1959,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"91",1960,"Polaris A-1",32,"2,200km","3.7km","Inertial","1"
"92",1960,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"93",1960,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"94",1960,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"95",1960,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"96",1960,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"97",1961,"Polaris A-1",80,"2,200km","3.7km","Inertial","1"
"98",1961,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"99",1961,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"100",1961,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"101",1961,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"102",1961,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"103",1962,"Polaris A-1",80,"2,200km","3.7km","Inertial","1"
"104",1962,"Polaris A-2",64,"2,700km","3.7km","Inertial","1"
"105",1962,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"106",1962,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"107",1962,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"108",1962,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"109",1963,"Polaris A-1",80,"2,200km","3.7km","Inertial","1"
"110",1963,"Polaris A-2",80,"2,700km","3.7km","Inertial","1"
"111",1963,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"112",1963,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"113",1963,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"114",1963,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"115",1964,"Polaris A-1",80,"2,200km","3.7km","Inertial","1"
"116",1964,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"117",1964,"Polaris A-3",32,"4,600km","1km","Inertial","3 (MRV)"
"118",1964,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"119",1964,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"120",1964,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"121",1965,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"122",1965,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"123",1965,"Polaris A-3",176,"4,600km","1km","Inertial","3 (MRV)"
"124",1965,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"125",1965,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"126",1965,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"127",1966,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"128",1966,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"129",1966,"Polaris A-3",352,"4,600km","1km","Inertial","3 (MRV)"
"130",1966,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"131",1966,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"132",1966,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"133",1967,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"134",1967,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"135",1967,"Polaris A-3",448,"4,600km","1km","Inertial","3 (MRV)"
"136",1967,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"137",1967,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"138",1967,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"139",1968,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"140",1968,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"141",1968,"Polaris A-3",448,"4,600km","1km","Inertial","3 (MRV)"
"142",1968,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"143",1968,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"144",1968,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"145",1969,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"146",1969,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"147",1969,"Polaris A-3",448,"4,600km","1km","Inertial","3 (MRV)"
"148",1969,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"149",1969,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"150",1969,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"151",1970,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"152",1970,"Polaris A-2",208,"2,700km","3.7km","Inertial","1"
"153",1970,"Polaris A-3",448,"4,600km","1km","Inertial","3 (MRV)"
"154",1970,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"155",1970,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"156",1970,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"157",1971,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"158",1971,"Polaris A-2",144,"2,700km","3.7km","Inertial","1"
"159",1971,"Polaris A-3",400,"4,600km","1km","Inertial","3 (MRV)"
"160",1971,"Poseidon C-3",112,"5,900km","560m","Inertial","10 (MIRV)"
"161",1971,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"162",1971,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"163",1972,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"164",1972,"Polaris A-2",96,"2,700km","3.7km","Inertial","1"
"165",1972,"Polaris A-3",368,"4,600km","1km","Inertial","3 (MRV)"
"166",1972,"Poseidon C-3",192,"5,900km","560m","Inertial","10 (MIRV)"
"167",1972,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"168",1972,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"169",1973,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"170",1973,"Polaris A-2",48,"2,700km","3.7km","Inertial","1"
"171",1973,"Polaris A-3",288,"4,600km","1km","Inertial","3 (MRV)"
"172",1973,"Poseidon C-3",320,"5,900km","560m","Inertial","10 (MIRV)"
"173",1973,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"174",1973,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"175",1974,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"176",1974,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"177",1974,"Polaris A-3",304,"4,600km","1km","Inertial","3 (MRV)"
"178",1974,"Poseidon C-3",352,"5,900km","560m","Inertial","10 (MIRV)"
"179",1974,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"180",1974,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"181",1975,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"182",1975,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"183",1975,"Polaris A-3",288,"4,600km","1km","Inertial","3 (MRV)"
"184",1975,"Poseidon C-3",368,"5,900km","560m","Inertial","10 (MIRV)"
"185",1975,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"186",1975,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"187",1976,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"188",1976,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"189",1976,"Polaris A-3",208,"4,600km","1km","Inertial","3 (MRV)"
"190",1976,"Poseidon C-3",448,"5,900km","560m","Inertial","10 (MIRV)"
"191",1976,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"192",1976,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"193",1977,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"194",1977,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"195",1977,"Polaris A-3",192,"4,600km","1km","Inertial","3 (MRV)"
"196",1977,"Poseidon C-3",464,"5,900km","560m","Inertial","10 (MIRV)"
"197",1977,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"198",1977,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"199",1978,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"200",1978,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"201",1978,"Polaris A-3",160,"4,600km","1km","Inertial","3 (MRV)"
"202",1978,"Poseidon C-3",496,"5,900km","560m","Inertial","10 (MIRV)"
"203",1978,"Trident C-4",NA,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"204",1978,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"205",1979,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"206",1979,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"207",1979,"Polaris A-3",160,"4,600km","1km","Inertial","3 (MRV)"
"208",1979,"Poseidon C-3",464,"5,900km","560m","Inertial","10 (MIRV)"
"209",1979,"Trident C-4",32,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"210",1979,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"211",1980,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"212",1980,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"213",1980,"Polaris A-3",96,"4,600km","1km","Inertial","3 (MRV)"
"214",1980,"Poseidon C-3",400,"5,900km","560m","Inertial","10 (MIRV)"
"215",1980,"Trident C-4",96,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"216",1980,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"217",1981,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"218",1981,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"219",1981,"Polaris A-3",16,"4,600km","1km","Inertial","3 (MRV)"
"220",1981,"Poseidon C-3",368,"5,900km","560m","Inertial","10 (MIRV)"
"221",1981,"Trident C-4",128,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"222",1981,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"223",1982,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"224",1982,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"225",1982,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"226",1982,"Poseidon C-3",304,"5,900km","560m","Inertial","10 (MIRV)"
"227",1982,"Trident C-4",216,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"228",1982,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"229",1983,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"230",1983,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"231",1983,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"232",1983,"Poseidon C-3",304,"5,900km","560m","Inertial","10 (MIRV)"
"233",1983,"Trident C-4",240,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"234",1983,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"235",1984,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"236",1984,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"237",1984,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"238",1984,"Poseidon C-3",304,"5,900km","560m","Inertial","10 (MIRV)"
"239",1984,"Trident C-4",288,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"240",1984,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"241",1985,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"242",1985,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"243",1985,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"244",1985,"Poseidon C-3",288,"5,900km","560m","Inertial","10 (MIRV)"
"245",1985,"Trident C-4",312,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"246",1985,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"247",1986,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"248",1986,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"249",1986,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"250",1986,"Poseidon C-3",256,"5,900km","560m","Inertial","10 (MIRV)"
"251",1986,"Trident C-4",360,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"252",1986,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"253",1987,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"254",1987,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"255",1987,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"256",1987,"Poseidon C-3",256,"5,900km","560m","Inertial","10 (MIRV)"
"257",1987,"Trident C-4",384,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"258",1987,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"259",1988,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"260",1988,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"261",1988,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"262",1988,"Poseidon C-3",224,"5,900km","560m","Inertial","10 (MIRV)"
"263",1988,"Trident C-4",384,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"264",1988,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"265",1989,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"266",1989,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"267",1989,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"268",1989,"Poseidon C-3",208,"5,900km","560m","Inertial","10 (MIRV)"
"269",1989,"Trident C-4",384,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"270",1989,"Trident D-5",NA,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"271",1990,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"272",1990,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"273",1990,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"274",1990,"Poseidon C-3",176,"5,900km","560m","Inertial","10 (MIRV)"
"275",1990,"Trident C-4",384,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"276",1990,"Trident D-5",48,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"277",1991,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"278",1991,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"279",1991,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"280",1991,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"281",1991,"Trident C-4",384,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"282",1991,"Trident D-5",96,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"283",1992,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"284",1992,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"285",1992,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"286",1992,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"287",1992,"Trident C-4",368,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"288",1992,"Trident D-5",120,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"289",1993,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"290",1993,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"291",1993,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"292",1993,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"293",1993,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"294",1993,"Trident D-5",144,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"295",1994,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"296",1994,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"297",1994,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"298",1994,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"299",1994,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"300",1994,"Trident D-5",168,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"301",1995,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"302",1995,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"303",1995,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"304",1995,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"305",1995,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"306",1995,"Trident D-5",192,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"307",1996,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"308",1996,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"309",1996,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"310",1996,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"311",1996,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"312",1996,"Trident D-5",216,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"313",1997,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"314",1997,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"315",1997,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"316",1997,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"317",1997,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"318",1997,"Trident D-5",240,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"319",1998,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"320",1998,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"321",1998,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"322",1998,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"323",1998,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"324",1998,"Trident D-5",240,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"325",1999,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"326",1999,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"327",1999,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"328",1999,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
"329",1999,"Trident C-4",192,"7,400km","200-500m","Astro-Inertial","8 (MIRV)"
"330",1999,"Trident D-5",240,"12,000km","100m","Astro-Inertial","10-14 (MIRV)"
"331",2000,"Polaris A-1",NA,"2,200km","3.7km","Inertial","1"
"332",2000,"Polaris A-2",NA,"2,700km","3.7km","Inertial","1"
"333",2000,"Polaris A-3",NA,"4,600km","1km","Inertial","3 (MRV)"
"334",2000,"Poseidon C-3",NA,"5,900km","560m","Inertial","10 (MIRV)"
